stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station,geometry
LH-L1-V1,,Los Héroes Dirección Los Domínicos,-33.4462889317273,-70.6607483679134,,,0.0,LH,POINT (-70.6607483679134 -33.4462889317273)
LH-L1-V2,,Los Héroes Dirección San Pablo,-33.4461741319575,-70.6607235578563,,,0.0,LH,POINT (-70.6607235578563 -33.4461741319575)
LH-L2-V1,,Los Héroes Dirección Hospital El Pino,-33.4461854237421,-70.6605070337058,,,0.0,LH,POINT (-70.6605070337058 -33.4461854237421)
LH-L2-V2,,Los Héroes Dirección Vespucio Norte,-33.4461854237421,-70.6603920052592,,,0.0,LH,POINT (-70.6603920052592 -33.4461854237421)
UCH-L1-V1,,Universidad de Chile Dirección Los Domínicos,-33.443880569369,-70.6503235785948,,,0.0,UCH,POINT (-70.6503235785948 -33.443880569369)
UCH-L1-V2,,Universidad de Chile Dirección San Pablo,-33.4437149494432,-70.6504362313631,,,0.0,UCH,POINT (-70.6504362313631 -33.4437149494432)
UCH-L3-V1,,Universidad de Chile Dirección Fernando Castillo Velasco,-33.4440954271878,-70.6517129628045,,,0.0,UCH,POINT (-70.6517129628045 -33.4440954271878)
UCH-L3-V2,,Universidad de Chile Dirección Plaza Quilicura,-33.4440529032883,-70.6515466658608,,,0.0,UCH,POINT (-70.6515466658608 -33.4440529032883)
TB-L1-V1,,Tobalaba Dirección Los Domínicos,-33.4187101768709,-70.6026623463313,,,0.0,TB,POINT (-70.6026623463313 -33.4187101768709)
TB-L1-V2,,Tobalaba Dirección San Pablo,-33.4185453788357,-70.6026151321302,,,0.0,TB,POINT (-70.6026151321302 -33.4185453788357)
TOB-L4-V1,,Tobalaba Dirección Plaza Puente Alto,-33.4183411721355,-70.6014190389351,,,0.0,TB,POINT (-70.6014190389351 -33.4183411721355)
TOB-L4-V2,,Tobalaba Dirección Tobalaba,-33.4182635495817,-70.601403300868,,,0.0,TB,POINT (-70.601403300868 -33.4182635495817)
BA-L1-V1,,Baquedano Dirección Los Domínicos,-33.437505117954,-70.6344882364856,,,0.0,BA,POINT (-70.6344882364856 -33.437505117954)
BA-L1-V2,,Baquedano Dirección San Pablo,-33.4373986970053,-70.6345459852166,,,0.0,BA,POINT (-70.6345459852166 -33.4373986970053)
BQ-L5-V1,,Baquedano Dirección Vicente Valdés,-33.4376376419757,-70.6335907249684,,,0.0,BA,POINT (-70.6335907249684 -33.4376376419757)
BQ-L5-V2,,Baquedano Dirección Plaza de Maipú,-33.437521181486,-70.6335305700403,,,0.0,BA,POINT (-70.6335305700403 -33.437521181486)
SP-L1-V1,,San Pablo Dirección Los Domínicos,-33.4453646198122,-70.7232759484153,,,0.0,SP,POINT (-70.7232759484153 -33.4453646198122)
SP-L1-V2,,San Pablo Dirección San Pablo,-33.4453887129205,-70.7230642030685,,,0.0,SP,POINT (-70.7230642030685 -33.4453887129205)
SO-L5-V1,,San Pablo Dirección Vicente Valdés,-33.4443165631182,-70.7231604510409,,,0.0,SP,POINT (-70.7231604510409 -33.4443165631182)
SO-L5-V2,,San Pablo Dirección Plaza de Maipú,-33.4441358624097,-70.7231508262524,,,0.0,SP,POINT (-70.7231508262524 -33.4441358624097)
LE-L1-V1,,Los Leones Dirección Los Domínicos,-33.4220510012081,-70.6085574983469,,,0.0,LE,POINT (-70.6085574983469 -33.4220510012081)
LE-L1-V2,,Los Leones Dirección San Pablo,-33.4220305375005,-70.6087851665978,,,0.0,LE,POINT (-70.6087851665978 -33.4220305375005)
LEN-L6-V1,,Los Leones Dirección Los Leones,-33.4207878263163,-70.6080694871658,,,0.0,LE,POINT (-70.6080694871658 -33.4207878263163)
LEN-L6-V2,,Los Leones Dirección Cerrillos,-33.4206824002522,-70.6081487417358,,,0.0,LE,POINT (-70.6081487417358 -33.4206824002522)
CA-L2-V1,,Puente Cal y Canto Dirección Hospital El Pino,-33.432864428629,-70.6523743489654,,,0.0,CA,POINT (-70.6523743489654 -33.432864428629)
CA-L2-V2,,Puente Cal y Canto Dirección Vespucio Norte,-33.4328673516512,-70.6522412506033,,,0.0,CA,POINT (-70.6522412506033 -33.4328673516512)
CA-L3-V1,,Puente Cal y Canto Dirección Fernando Castillo Velasco,-33.4323558212606,-70.6531624313725,,,0.0,CA,POINT (-70.6531624313725 -33.4323558212606)
CA-L3-V2,,Puente Cal y Canto Dirección Plaza Quilicura,-33.4324376663257,-70.6529908045372,,,0.0,CA,POINT (-70.6529908045372 -33.4324376663257)
LC-L2-V1,,La Cisterna Dirección Hospital El Pino,-33.5383144024037,-70.6646450066753,,,0.0,LC,POINT (-70.6646450066753 -33.5383144024037)
LC-L2-V2,,La Cisterna Dirección Vespucio Norte,-33.5383280458119,-70.6644518584786,,,0.0,LC,POINT (-70.6644518584786 -33.5383280458119)
LCI-L4A-V1,,La Cisterna Dirección La Cisterna,-33.5373702733102,-70.6640982990431,,,0.0,LC,POINT (-70.6640982990431 -33.5373702733102)
LCI-L4A-V2,,La Cisterna Dirección Vicuña Mackenna,-33.5375203523216,-70.6639116982429,,,0.0,LC,POINT (-70.6639116982429 -33.5375203523216)
AN-L2-V1,,Santa Ana Dirección Hospital El Pino,-33.4383388286926,-70.6599606637706,,,0.0,AN,POINT (-70.6599606637706 -33.4383388286926)
AN-L2-V2,,Santa Ana Dirección Vespucio Norte,-33.4383046807644,-70.6598231684441,,,0.0,AN,POINT (-70.6598231684441 -33.4383046807644)
NA-L5-V1,,Santa Ana Dirección Vicente Valdés,-33.438303314847,-70.6599099214477,,,0.0,AN,POINT (-70.6599099214477 -33.438303314847)
NA-L5-V2,,Santa Ana Dirección Plaza de Maipú,-33.4382295552752,-70.6599328373355,,,0.0,AN,POINT (-70.6599328373355 -33.4382295552752)
FR-L2-V1,,Franklin Dirección Hospital El Pino,-33.47627556796,-70.6496708820262,,,0.0,FR,POINT (-70.6496708820262 -33.47627556796)
FR-L2-V2,,Franklin Dirección Vespucio Norte,-33.4762466051581,-70.6495319907724,,,0.0,FR,POINT (-70.6495319907724 -33.4762466051581)
FRA-L6-V1,,Franklin Dirección Los Leones,-33.4769647857209,-70.6489080344158,,,0.0,FR,POINT (-70.6489080344158 -33.4769647857209)
FRA-L6-V2,,Franklin Dirección Cerrillos,-33.4767667020776,-70.6491533000466,,,0.0,FR,POINT (-70.6491533000466 -33.4767667020776)
PZE-L3-V1,,Plaza Egaña Dirección Fernando Castillo Velasco,-33.4535145663763,-70.5713194162888,,,0.0,PEG,POINT (-70.5713194162888 -33.4535145663763)
PZE-L3-V2,,Plaza Egaña Dirección Plaza Quilicura,-33.4534387464388,-70.5713261477139,,,0.0,PEG,POINT (-70.5713261477139 -33.4534387464388)
PEG-L4-V1,,Plaza Egaña Dirección Plaza Puente Alto,-33.4533924119987,-70.5708599935219,,,0.0,PEG,POINT (-70.5708599935219 -33.4533924119987)
PEG-L4-V2,,Plaza Egaña Dirección Tobalaba,-33.4534064527404,-70.5706681466642,,,0.0,PEG,POINT (-70.5706681466642 -33.4534064527404)
IRA-L3-V1,,Irarrázaval Dirección Fernando Castillo Velasco,-33.4549710772364,-70.6279953840886,,,0.0,IRA,POINT (-70.6279953840886 -33.4549710772364)
IRA-L3-V2,,Irarrázaval Dirección Plaza Quilicura,-33.4550412048066,-70.6278432869898,,,0.0,IRA,POINT (-70.6278432869898 -33.4550412048066)
IR-L5-V1,,Irarrázaval Dirección Vicente Valdés,-33.4535442662556,-70.6288424394089,,,0.0,IRA,POINT (-70.6288424394089 -33.4535442662556)
IR-L5-V2,,Irarrázaval Dirección Plaza de Maipú,-33.453465638198,-70.6288020505968,,,0.0,IRA,POINT (-70.6288020505968 -33.453465638198)
PZA-L3-V1,,Plaza de Armas Dirección Fernando Castillo Velasco,-33.4373850843457,-70.6526889728135,,,0.0,PZA,POINT (-70.6526889728135 -33.4373850843457)
PZA-L3-V2,,Plaza de Armas Dirección Plaza Quilicura,-33.437400972563,-70.6525747360017,,,0.0,PZA,POINT (-70.6525747360017 -33.437400972563)
PZ-L5-V1,,Plaza de Armas Dirección Vicente Valdés,-33.4374253658317,-70.6507143170606,,,0.0,PZA,POINT (-70.6507143170606 -33.4374253658317)
PZ-L5-V2,,Plaza de Armas Dirección Plaza de Maipú,-33.4373119995134,-70.6508954520331,,,0.0,PZA,POINT (-70.6508954520331 -33.4373119995134)
NUN-L3-V1,,Ñuñoa Dirección Fernando Castillo Velasco,-33.4540687311411,-70.6051784461974,,,0.0,NUN,POINT (-70.6051784461974 -33.4540687311411)
NUN-L3-V2,,Ñuñoa Dirección Plaza Quilicura,-33.4541997836387,-70.6052355646033,,,0.0,NUN,POINT (-70.6052355646033 -33.4541997836387)
NUN-L6-V1,,Ñuñoa Dirección Los Leones,-33.4543328215776,-70.6049071337694,,,0.0,NUN,POINT (-70.6049071337694 -33.4543328215776)
NUN-L6-V2,,Ñuñoa Dirección Cerrillos,-33.4543566492466,-70.605016610714,,,0.0,NUN,POINT (-70.605016610714 -33.4543566492466)
VMA-L4-V1,,Vicuña Mackenna Dirección Plaza Puente Alto,-33.5199749625154,-70.5964697414358,,,0.0,VMA,POINT (-70.5964697414358 -33.5199749625154)
VMA-L4-V2,,Vicuña Mackenna Dirección Tobalaba,-33.5200986988571,-70.5963552463272,,,0.0,VMA,POINT (-70.5963552463272 -33.5200986988571)
VMA-L4A-V1,,Vicuña Mackenna Dirección La Cisterna,-33.5199749625154,-70.5964697414358,,,0.0,VMA,POINT (-70.5964697414358 -33.5199749625154)
VMA-L4A-V2,,Vicuña Mackenna Dirección Vicuña Mackenna,-33.5200986988571,-70.5963552463272,,,0.0,VMA,POINT (-70.5963552463272 -33.5200986988571)
VVA-L4-V1,,Vicente Valdés Dirección Plaza Puente Alto,-33.5261621726771,-70.5969489251857,,,0.0,VVA,POINT (-70.5969489251857 -33.5261621726771)
